[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_081829_Pope_Ben_100SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,41899,0.041899,[0]
1,38838,0.038838,[1]
2,34516,0.034516,[0]
3,35998,0.035998,[1]
4,31764,0.031764,[0]
5,28374,0.028374,[1]
6,26837,0.026837,[0]
7,25321,0.025321,[1]
8,24548,0.024548,[0]
9,21063,0.021063,[1]
10,18204,0.018204,[0]
11,17081,0.017081,[1]
12,17133,0.017133,[0]
13,16687,0.016687,[1]
14,15980,0.01598,[0]
15,15703,0.015703,[1]
16,15219,0.015219,[0]
17,14327,0.014327,[1]
18,14597,0.014597,[0]
19,15930,0.01593,[1]
20,15998,0.015998,[0]
21,15766,0.015766,[1]
22,15778,0.015778,[0]
23,15488,0.015488,[1]
24,14864,0.014864,[0]
25,14495,0.014495,[1]
26,15732,0.015732,[0]
27,16392,0.016392,[1]
28,16043,0.016043,[0]
29,15330,0.01533,[1]
30,14484,0.014484,[0]
31,13823,0.013823,[1]
32,13624,0.013624,[0]
33,14005,0.014005,[1]
34,13839,0.013839,[0]
35,13771,0.013771,[1]
36,13466,0.013466,[0]
37,13140,0.01314,[1]
38,13047,0.013047,[0]
39,12831,0.012831,[1]
40,12443,0.012443,[0]
41,12127,0.012127,[1]
42,11944,0.011944,[0]
43,11830,0.01183,[1]
44,11747,0.011747,[0]
45,11792,0.011792,[1]
46,11480,0.01148,[0]
47,11238,0.011238,[1]
48,11173,0.011173,[0]
49,11207,0.011207,[1]
50,11145,0.011145,[0]
51,10838,0.010838,[1]
52,10470,0.01047,[0]
53,10598,0.010598,[1]
54,10635,0.010635,[0]
55,10398,0.010398,[1]
56,10451,0.010451,[0]
57,11036,0.011036,[1]
58,10976,0.010976,[0]
59,11138,0.011138,[1]
60,11242,0.011242,[0]
61,11561,0.011561,[1]
62,11875,0.011875,[0]
63,12372,0.012372,[1]
64,12398,0.012398,[0]
65,12080,0.01208,[1]
66,12059,0.012059,[0]
67,12413,0.012413,[1]
68,12138,0.012138,[0]
69,12420,0.01242,[1]
70,13348,0.013348,[0]
71,15386,0.015386,[1]
72,15774,0.015774,[0]
73,15991,0.015991,[1]
74,16121,0.016121,[0]
75,14906,0.014906,[1]
76,13627,0.013627,[0]
77,13330,0.01333,[1]
78,13030,0.01303,[0]
79,12934,0.012934,[1]
80,13183,0.013183,[0]
81,13240,0.01324,[1]
82,12949,0.012949,[0]
83,12803,0.012803,[1]
84,12418,0.012418,[0]
85,11826,0.011826,[1]
86,11535,0.011535,[0]
87,11183,0.011183,[1]
88,10793,0.010793,[0]
89,10588,0.010588,[1]
90,10742,0.010742,[0]
91,10610,0.01061,[1]
92,10334,0.010334,[0]
93,10457,0.010457,[1]
94,10552,0.010552,[0]
95,10254,0.010254,[1]
96,9964,0.009964,[0]
97,10109,0.010109,[1]
98,9908,0.009908,[0]
99,9821,0.009821,[1]
100,9693,0.009693,[0]
101,9858,0.009858,[1]
102,9721,0.009721,[0]
103,9920,0.00992,[1]
104,9891,0.009891,[0]
