[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,2011353,2.011353,[0]
1,244714,0.244714,[1]
2,152384,0.152384,[0]
3,194656,0.194656,[1]
4,236826,0.236826,[0]
5,234353,0.234353,[1]
6,301018,0.301018,[0]
7,320924,0.320924,[1]
8,306537,0.306537,[0]
9,456632,0.456632,[1]
10,298426,0.298426,[0]
11,113636,0.113636,[1]
12,62537,0.062537,[0]
13,49270,0.04927,[1]
14,39915,0.039915,[0]
15,33922,0.033922,[1]
16,31449,0.031449,[0]
17,28125,0.028125,[1]
18,25792,0.025792,[0]
19,27120,0.02712,[1]
20,31610,0.03161,[0]
21,31295,0.031295,[1]
22,29357,0.029357,[0]
23,32011,0.032011,[1]
24,31789,0.031789,[0]
25,32993,0.032993,[1]
26,36517,0.036517,[0]
27,29280,0.02928,[1]
28,24473,0.024473,[0]
29,24908,0.024908,[1]
30,24493,0.024493,[0]
31,26018,0.026018,[1]
32,27872,0.027872,[0]
33,26247,0.026247,[1]
34,25899,0.025899,[0]
35,23652,0.023652,[1]
36,23394,0.023394,[0]
37,22555,0.022555,[1]
38,21080,0.02108,[0]
39,20429,0.020429,[1]
40,19518,0.019518,[0]
41,19048,0.019048,[1]
42,18377,0.018377,[0]
43,17637,0.017637,[1]
44,16988,0.016988,[0]
45,16577,0.016577,[1]
46,16311,0.016311,[0]
47,16047,0.016047,[1]
48,15525,0.015525,[0]
49,15235,0.015235,[1]
50,14826,0.014826,[0]
51,14781,0.014781,[1]
52,15041,0.015041,[0]
53,15018,0.015018,[1]
54,14971,0.014971,[0]
55,14712,0.014712,[1]
56,15195,0.015195,[0]
57,15441,0.015441,[1]
58,15827,0.015827,[0]
59,15977,0.015977,[1]
60,16038,0.016038,[0]
61,16547,0.016547,[1]
62,16271,0.016271,[0]
63,17120,0.01712,[1]
64,17410,0.01741,[0]
65,17076,0.017076,[1]
66,16718,0.016718,[0]
67,16748,0.016748,[1]
68,17015,0.017015,[0]
69,16631,0.016631,[1]
70,15904,0.015904,[0]
71,15587,0.015587,[1]
72,14866,0.014866,[0]
73,14552,0.014552,[1]
74,14871,0.014871,[0]
75,15073,0.015073,[1]
76,14676,0.014676,[0]
77,14390,0.01439,[1]
78,14483,0.014483,[0]
79,14108,0.014108,[1]
80,14534,0.014534,[0]
81,15284,0.015284,[1]
82,14521,0.014521,[0]
83,13518,0.013518,[1]
84,13019,0.013019,[0]
85,12611,0.012611,[1]
86,12680,0.01268,[0]
87,12317,0.012317,[1]
88,12042,0.012042,[0]
89,11824,0.011824,[1]
90,11643,0.011643,[0]
91,11811,0.011811,[1]
92,11807,0.011807,[0]
93,11598,0.011598,[1]
94,11115,0.011115,[0]
95,10901,0.010901,[1]
96,11546,0.011546,[0]
97,11863,0.011863,[1]
98,12088,0.012088,[0]
99,12174,0.012174,[1]
100,12156,0.012156,[0]
101,12138,0.012138,[1]
102,12160,0.01216,[0]
103,12243,0.012243,[1]
