[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085334_Davidson_Codie_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1989749,1.989749,[0]
1,34698,0.034698,[1]
2,31158,0.031158,[0]
3,28119,0.028119,[1]
4,24887,0.024887,[0]
5,24050,0.02405,[1]
6,23006,0.023006,[0]
7,22376,0.022376,[1]
8,21534,0.021534,[0]
9,21421,0.021421,[1]
10,20955,0.020955,[0]
11,20823,0.020823,[1]
12,23390,0.02339,[0]
13,23609,0.023609,[1]
14,22973,0.022973,[0]
15,27510,0.02751,[1]
16,30911,0.030911,[0]
17,34085,0.034085,[1]
18,41112,0.041112,[0]
19,44188,0.044188,[1]
20,46375,0.046375,[0]
21,39516,0.039516,[1]
22,35131,0.035131,[0]
23,30188,0.030188,[1]
24,26587,0.026587,[0]
25,25691,0.025691,[1]
26,24313,0.024313,[0]
27,22548,0.022548,[1]
28,21366,0.021366,[0]
29,20256,0.020256,[1]
30,20835,0.020835,[0]
31,19687,0.019687,[1]
32,18775,0.018775,[0]
33,18214,0.018214,[1]
34,18011,0.018011,[0]
35,18540,0.01854,[1]
36,17979,0.017979,[0]
37,17318,0.017318,[1]
38,17605,0.017605,[0]
39,18529,0.018529,[1]
40,19166,0.019166,[0]
41,18413,0.018413,[1]
42,19835,0.019835,[0]
43,21001,0.021001,[1]
44,20483,0.020483,[0]
45,20998,0.020998,[1]
46,22108,0.022108,[0]
47,23154,0.023154,[1]
48,23082,0.023082,[0]
49,24396,0.024396,[1]
50,24296,0.024296,[0]
51,24903,0.024903,[1]
52,25005,0.025005,[0]
53,24270,0.02427,[1]
54,21702,0.021702,[0]
55,20145,0.020145,[1]
56,18773,0.018773,[0]
57,17999,0.017999,[1]
58,17004,0.017004,[0]
59,16292,0.016292,[1]
60,14707,0.014707,[0]
61,14060,0.01406,[1]
62,13677,0.013677,[0]
63,13403,0.013403,[1]
64,13741,0.013741,[0]
65,13309,0.013309,[1]
66,12395,0.012395,[0]
67,12537,0.012537,[1]
68,12257,0.012257,[0]
69,12261,0.012261,[1]
70,11552,0.011552,[0]
71,11629,0.011629,[1]
72,12187,0.012187,[0]
73,12381,0.012381,[1]
74,11798,0.011798,[0]
75,11307,0.011307,[1]
76,11494,0.011494,[0]
77,11363,0.011363,[1]
78,11238,0.011238,[0]
79,11235,0.011235,[1]
80,11464,0.011464,[0]
81,11636,0.011636,[1]
82,11777,0.011777,[0]
83,12064,0.012064,[1]
84,12725,0.012725,[0]
85,12866,0.012866,[1]
86,12150,0.01215,[0]
87,12541,0.012541,[1]
88,12797,0.012797,[0]
89,12922,0.012922,[1]
90,13576,0.013576,[0]
91,14574,0.014574,[1]
92,14994,0.014994,[0]
93,14702,0.014702,[1]
94,14601,0.014601,[0]
95,14406,0.014406,[1]
96,15580,0.01558,[0]
97,15935,0.015935,[1]
98,18237,0.018237,[0]
99,17592,0.017592,[1]
100,18229,0.018229,[0]
101,15874,0.015874,[1]
102,17270,0.01727,[0]
103,15858,0.015858,[1]
