[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_074751_Davidson_Codie_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,3125883,3.125883,[0]
1,32439,0.032439,[1]
2,30564,0.030564,[0]
3,34875,0.034875,[1]
4,44777,0.044777,[0]
5,60218,0.060218,[1]
6,71897,0.071897,[0]
7,62651,0.062651,[1]
8,64607,0.064607,[0]
9,61772,0.061772,[1]
10,51546,0.051546,[0]
11,43989,0.043989,[1]
12,31826,0.031826,[0]
13,28627,0.028627,[1]
14,26848,0.026848,[0]
15,27508,0.027508,[1]
16,24753,0.024753,[0]
17,24989,0.024989,[1]
18,24679,0.024679,[0]
19,23648,0.023648,[1]
20,22976,0.022976,[0]
21,22691,0.022691,[1]
22,19458,0.019458,[0]
23,19199,0.019199,[1]
24,19764,0.019764,[0]
25,18681,0.018681,[1]
26,17661,0.017661,[0]
27,16307,0.016307,[1]
28,15604,0.015604,[0]
29,16059,0.016059,[1]
30,15375,0.015375,[0]
31,14033,0.014033,[1]
32,14317,0.014317,[0]
33,15620,0.01562,[1]
34,17728,0.017728,[0]
35,19004,0.019004,[1]
36,18683,0.018683,[0]
37,17336,0.017336,[1]
38,17152,0.017152,[0]
39,17694,0.017694,[1]
40,18365,0.018365,[0]
41,17614,0.017614,[1]
42,18661,0.018661,[0]
43,19799,0.019799,[1]
44,19766,0.019766,[0]
45,20243,0.020243,[1]
46,20768,0.020768,[0]
47,21806,0.021806,[1]
48,21805,0.021805,[0]
49,24461,0.024461,[1]
50,27077,0.027077,[0]
51,25711,0.025711,[1]
52,28381,0.028381,[0]
53,27949,0.027949,[1]
54,28488,0.028488,[0]
55,29534,0.029534,[1]
56,28638,0.028638,[0]
57,26575,0.026575,[1]
58,26676,0.026676,[0]
59,24504,0.024504,[1]
60,22625,0.022625,[0]
61,22114,0.022114,[1]
62,22269,0.022269,[0]
63,19622,0.019622,[1]
64,18484,0.018484,[0]
65,18495,0.018495,[1]
66,17512,0.017512,[0]
67,17205,0.017205,[1]
68,16203,0.016203,[0]
69,15406,0.015406,[1]
70,15363,0.015363,[0]
71,15316,0.015316,[1]
72,14667,0.014667,[0]
73,14048,0.014048,[1]
74,14414,0.014414,[0]
75,13997,0.013997,[1]
76,14020,0.01402,[0]
77,13273,0.013273,[1]
78,13497,0.013497,[0]
79,13774,0.013774,[1]
80,13886,0.013886,[0]
81,13044,0.013044,[1]
82,13020,0.01302,[0]
83,13218,0.013218,[1]
84,13545,0.013545,[0]
85,13793,0.013793,[1]
86,13217,0.013217,[0]
87,13158,0.013158,[1]
88,12417,0.012417,[0]
89,12084,0.012084,[1]
90,12582,0.012582,[0]
91,13282,0.013282,[1]
92,13275,0.013275,[0]
93,13222,0.013222,[1]
94,13048,0.013048,[0]
95,13635,0.013635,[1]
96,13314,0.013314,[0]
97,13268,0.013268,[1]
98,13650,0.01365,[0]
99,14070,0.01407,[1]
100,14042,0.014042,[0]
101,14071,0.014071,[1]
102,14346,0.014346,[0]
103,14645,0.014645,[1]
