[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084907_Davidson_Codie_pirhana60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,2571917,2.571917,[0]
1,63285,0.063285,[1]
2,57721,0.057721,[0]
3,56308,0.056308,[1]
4,52772,0.052772,[0]
5,63181,0.063181,[1]
6,66742,0.066742,[0]
7,85204,0.085204,[1]
8,116213,0.116213,[0]
9,173975,0.173975,[1]
10,103153,0.103153,[0]
11,61380,0.06138,[1]
12,41495,0.041495,[0]
13,36902,0.036902,[1]
14,33105,0.033105,[0]
15,30465,0.030465,[1]
16,28068,0.028068,[0]
17,26084,0.026084,[1]
18,25375,0.025375,[0]
19,24732,0.024732,[1]
20,23459,0.023459,[0]
21,23092,0.023092,[1]
22,21567,0.021567,[0]
23,21527,0.021527,[1]
24,19756,0.019756,[0]
25,20469,0.020469,[1]
26,20842,0.020842,[0]
27,19999,0.019999,[1]
28,20167,0.020167,[0]
29,20318,0.020318,[1]
30,21036,0.021036,[0]
31,21963,0.021963,[1]
32,23244,0.023244,[0]
33,25282,0.025282,[1]
34,25962,0.025962,[0]
35,29780,0.02978,[1]
36,31751,0.031751,[0]
37,32292,0.032292,[1]
38,34838,0.034838,[0]
39,34555,0.034555,[1]
40,33168,0.033168,[0]
41,29544,0.029544,[1]
42,26435,0.026435,[0]
43,23502,0.023502,[1]
44,22972,0.022972,[0]
45,21039,0.021039,[1]
46,18966,0.018966,[0]
47,18199,0.018199,[1]
48,17864,0.017864,[0]
49,17270,0.01727,[1]
50,16454,0.016454,[0]
51,16241,0.016241,[1]
52,16499,0.016499,[0]
53,16006,0.016006,[1]
54,14764,0.014764,[0]
55,14763,0.014763,[1]
56,14942,0.014942,[0]
57,15128,0.015128,[1]
58,14693,0.014693,[0]
59,13993,0.013993,[1]
60,14008,0.014008,[0]
61,13989,0.013989,[1]
62,14147,0.014147,[0]
63,13957,0.013957,[1]
64,13711,0.013711,[0]
65,13490,0.01349,[1]
66,13483,0.013483,[0]
67,13814,0.013814,[1]
68,14792,0.014792,[0]
69,14596,0.014596,[1]
70,14316,0.014316,[0]
71,14266,0.014266,[1]
72,14942,0.014942,[0]
73,15695,0.015695,[1]
74,15282,0.015282,[0]
75,15360,0.01536,[1]
76,16800,0.0168,[0]
77,17268,0.017268,[1]
78,16675,0.016675,[0]
79,16858,0.016858,[1]
80,18670,0.01867,[0]
81,18483,0.018483,[1]
82,18312,0.018312,[0]
83,19269,0.019269,[1]
84,19386,0.019386,[0]
85,18712,0.018712,[1]
86,18274,0.018274,[0]
87,18210,0.01821,[1]
88,17451,0.017451,[0]
89,16052,0.016052,[1]
90,16591,0.016591,[0]
91,15864,0.015864,[1]
92,14981,0.014981,[0]
93,14355,0.014355,[1]
94,14216,0.014216,[0]
95,14307,0.014307,[1]
96,13876,0.013876,[0]
97,12869,0.012869,[1]
98,12094,0.012094,[0]
99,12101,0.012101,[1]
100,12106,0.012106,[0]
101,12047,0.012047,[1]
102,12570,0.01257,[0]
103,12822,0.012822,[1]
