[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085638_Davidson_Codie_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,3183149,3.183149,[0]
1,26436,0.026436,[1]
2,26882,0.026882,[0]
3,26450,0.02645,[1]
4,26134,0.026134,[0]
5,25163,0.025163,[1]
6,24865,0.024865,[0]
7,23997,0.023997,[1]
8,24651,0.024651,[0]
9,27102,0.027102,[1]
10,30316,0.030316,[0]
11,33576,0.033576,[1]
12,37560,0.03756,[0]
13,43515,0.043515,[1]
14,50056,0.050056,[0]
15,52427,0.052427,[1]
16,43570,0.04357,[0]
17,37350,0.03735,[1]
18,32228,0.032228,[0]
19,28309,0.028309,[1]
20,25617,0.025617,[0]
21,25065,0.025065,[1]
22,23178,0.023178,[0]
23,21727,0.021727,[1]
24,21029,0.021029,[0]
25,20983,0.020983,[1]
26,20543,0.020543,[0]
27,19296,0.019296,[1]
28,18452,0.018452,[0]
29,18416,0.018416,[1]
30,18445,0.018445,[0]
31,17364,0.017364,[1]
32,17544,0.017544,[0]
33,17602,0.017602,[1]
34,16806,0.016806,[0]
35,17117,0.017117,[1]
36,16782,0.016782,[0]
37,16487,0.016487,[1]
38,17167,0.017167,[0]
39,17136,0.017136,[1]
40,16834,0.016834,[0]
41,16983,0.016983,[1]
42,17846,0.017846,[0]
43,17823,0.017823,[1]
44,17891,0.017891,[0]
45,18826,0.018826,[1]
46,20877,0.020877,[0]
47,20152,0.020152,[1]
48,19460,0.01946,[0]
49,20976,0.020976,[1]
50,22781,0.022781,[0]
51,22251,0.022251,[1]
52,22190,0.02219,[0]
53,23760,0.02376,[1]
54,24382,0.024382,[0]
55,22738,0.022738,[1]
56,22489,0.022489,[0]
57,22870,0.02287,[1]
58,20713,0.020713,[0]
59,18697,0.018697,[1]
60,17093,0.017093,[0]
61,16685,0.016685,[1]
62,15826,0.015826,[0]
63,14431,0.014431,[1]
64,14094,0.014094,[0]
65,14106,0.014106,[1]
66,13379,0.013379,[0]
67,12868,0.012868,[1]
68,12761,0.012761,[0]
69,12404,0.012404,[1]
70,11915,0.011915,[0]
71,11755,0.011755,[1]
72,11978,0.011978,[0]
73,12155,0.012155,[1]
74,11803,0.011803,[0]
75,11473,0.011473,[1]
76,11421,0.011421,[0]
77,11738,0.011738,[1]
78,11274,0.011274,[0]
79,11436,0.011436,[1]
80,11477,0.011477,[0]
81,11164,0.011164,[1]
82,11065,0.011065,[0]
83,11091,0.011091,[1]
84,11289,0.011289,[0]
85,10917,0.010917,[1]
86,10858,0.010858,[0]
87,11188,0.011188,[1]
88,11505,0.011505,[0]
89,11956,0.011956,[1]
90,12225,0.012225,[0]
91,12866,0.012866,[1]
92,13061,0.013061,[0]
93,13399,0.013399,[1]
94,13899,0.013899,[0]
95,13590,0.01359,[1]
96,13497,0.013497,[0]
97,13978,0.013978,[1]
98,15150,0.01515,[0]
99,15478,0.015478,[1]
100,16065,0.016065,[0]
101,16524,0.016524,[1]
102,17588,0.017588,[0]
103,17718,0.017718,[1]
