[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082333_Curtin_Dom_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1293344,1.293344,[0]
1,29996,0.029996,[1]
2,18784,0.018784,[0]
3,18579,0.018579,[1]
4,21011,0.021011,[0]
5,20987,0.020987,[1]
6,22494,0.022494,[0]
7,27049,0.027049,[1]
8,31168,0.031168,[0]
9,35974,0.035974,[1]
10,40694,0.040694,[0]
11,34090,0.03409,[1]
12,27881,0.027881,[0]
13,23795,0.023795,[1]
14,21555,0.021555,[0]
15,19698,0.019698,[1]
16,18128,0.018128,[0]
17,16494,0.016494,[1]
18,17041,0.017041,[0]
19,16676,0.016676,[1]
20,16100,0.0161,[0]
21,14825,0.014825,[1]
22,15001,0.015001,[0]
23,15447,0.015447,[1]
24,14436,0.014436,[0]
25,13541,0.013541,[1]
26,14102,0.014102,[0]
27,14020,0.01402,[1]
28,13118,0.013118,[0]
29,12564,0.012564,[1]
30,12561,0.012561,[0]
31,13034,0.013034,[1]
32,12023,0.012023,[0]
33,11655,0.011655,[1]
34,11742,0.011742,[0]
35,11385,0.011385,[1]
36,11131,0.011131,[0]
37,11253,0.011253,[1]
38,11530,0.01153,[0]
39,11522,0.011522,[1]
40,11315,0.011315,[0]
41,12027,0.012027,[1]
42,11972,0.011972,[0]
43,12517,0.012517,[1]
44,13359,0.013359,[0]
45,13384,0.013384,[1]
46,14256,0.014256,[0]
47,14321,0.014321,[1]
48,14185,0.014185,[0]
49,14836,0.014836,[1]
50,14972,0.014972,[0]
51,15263,0.015263,[1]
52,16026,0.016026,[0]
53,17112,0.017112,[1]
54,17160,0.01716,[0]
55,15306,0.015306,[1]
56,14782,0.014782,[0]
57,14531,0.014531,[1]
58,14163,0.014163,[0]
59,13602,0.013602,[1]
60,13156,0.013156,[0]
61,12774,0.012774,[1]
62,12405,0.012405,[0]
63,12027,0.012027,[1]
64,11941,0.011941,[0]
65,11772,0.011772,[1]
66,11338,0.011338,[0]
67,10870,0.01087,[1]
68,11182,0.011182,[0]
69,11564,0.011564,[1]
70,11044,0.011044,[0]
71,10699,0.010699,[1]
72,10456,0.010456,[0]
73,10351,0.010351,[1]
74,10276,0.010276,[0]
75,10558,0.010558,[1]
76,10663,0.010663,[0]
77,10594,0.010594,[1]
78,10382,0.010382,[0]
79,10370,0.01037,[1]
80,10464,0.010464,[0]
81,10660,0.01066,[1]
82,10629,0.010629,[0]
83,10952,0.010952,[1]
84,11425,0.011425,[0]
85,11270,0.01127,[1]
86,11471,0.011471,[0]
87,11499,0.011499,[1]
88,11839,0.011839,[0]
89,12285,0.012285,[1]
90,12586,0.012586,[0]
91,12868,0.012868,[1]
92,12842,0.012842,[0]
93,12815,0.012815,[1]
94,12713,0.012713,[0]
95,12811,0.012811,[1]
96,12722,0.012722,[0]
97,12324,0.012324,[1]
98,12171,0.012171,[0]
99,12027,0.012027,[1]
100,11883,0.011883,[0]
101,11508,0.011508,[1]
102,10991,0.010991,[0]
103,10348,0.010348,[1]
