[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082704_Curtin_Dom_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1150690,1.15069,[0]
1,322856,0.322856,[1]
2,3882308,3.882308,[0]
3,489462,0.489462,[1]
4,409232,0.409232,[0]
5,389337,0.389337,[1]
6,608430,0.60843,[0]
7,1480963,1.480963,[1]
8,26072,0.026072,[0]
9,22195,0.022195,[1]
10,21119,0.021119,[0]
11,19736,0.019736,[1]
12,17958,0.017958,[0]
13,17237,0.017237,[1]
14,16410,0.01641,[0]
15,17010,0.01701,[1]
16,17272,0.017272,[0]
17,17540,0.01754,[1]
18,17948,0.017948,[0]
19,21736,0.021736,[1]
20,23700,0.0237,[0]
21,29813,0.029813,[1]
22,42626,0.042626,[0]
23,43706,0.043706,[1]
24,32537,0.032537,[0]
25,25985,0.025985,[1]
26,22413,0.022413,[0]
27,20411,0.020411,[1]
28,17902,0.017902,[0]
29,16215,0.016215,[1]
30,15562,0.015562,[0]
31,15024,0.015024,[1]
32,14386,0.014386,[0]
33,13895,0.013895,[1]
34,13426,0.013426,[0]
35,13277,0.013277,[1]
36,12313,0.012313,[0]
37,12053,0.012053,[1]
38,12340,0.01234,[0]
39,13073,0.013073,[1]
40,12857,0.012857,[0]
41,12489,0.012489,[1]
42,11798,0.011798,[0]
43,11762,0.011762,[1]
44,11696,0.011696,[0]
45,11464,0.011464,[1]
46,11054,0.011054,[0]
47,11362,0.011362,[1]
48,11690,0.01169,[0]
49,11927,0.011927,[1]
50,12455,0.012455,[0]
51,12974,0.012974,[1]
52,13718,0.013718,[0]
53,13987,0.013987,[1]
54,14675,0.014675,[0]
55,15471,0.015471,[1]
56,16658,0.016658,[0]
57,17676,0.017676,[1]
58,18377,0.018377,[0]
59,18893,0.018893,[1]
60,18147,0.018147,[0]
61,16570,0.01657,[1]
62,15316,0.015316,[0]
63,14686,0.014686,[1]
64,13919,0.013919,[0]
65,12854,0.012854,[1]
66,12391,0.012391,[0]
67,11560,0.01156,[1]
68,11233,0.011233,[0]
69,10947,0.010947,[1]
70,10795,0.010795,[0]
71,10742,0.010742,[1]
72,10835,0.010835,[0]
73,10248,0.010248,[1]
74,10039,0.010039,[0]
75,10067,0.010067,[1]
76,10185,0.010185,[0]
77,10286,0.010286,[1]
78,10279,0.010279,[0]
79,10142,0.010142,[1]
80,10034,0.010034,[0]
81,9832,0.009832,[1]
82,10286,0.010286,[0]
83,10129,0.010129,[1]
84,9812,0.009812,[0]
85,9926,0.009926,[1]
86,10356,0.010356,[0]
87,10437,0.010437,[1]
88,10426,0.010426,[0]
89,10087,0.010087,[1]
90,10250,0.01025,[0]
91,10468,0.010468,[1]
92,11071,0.011071,[0]
93,11629,0.011629,[1]
94,11950,0.01195,[0]
95,12056,0.012056,[1]
96,12195,0.012195,[0]
97,12000,0.012,[1]
98,12288,0.012288,[0]
99,12397,0.012397,[1]
100,12528,0.012528,[0]
101,12587,0.012587,[1]
102,12722,0.012722,[0]
103,11709,0.011709,[1]
