[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090649_Curtin_Dom_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1331361,1.331361,[0]
1,41972,0.041972,[1]
2,28916,0.028916,[0]
3,21475,0.021475,[1]
4,24179,0.024179,[0]
5,28275,0.028275,[1]
6,29251,0.029251,[0]
7,37245,0.037245,[1]
8,44301,0.044301,[0]
9,50205,0.050205,[1]
10,44552,0.044552,[0]
11,37842,0.037842,[1]
12,30706,0.030706,[0]
13,27158,0.027158,[1]
14,24242,0.024242,[0]
15,21709,0.021709,[1]
16,19895,0.019895,[0]
17,18985,0.018985,[1]
18,18025,0.018025,[0]
19,17261,0.017261,[1]
20,16507,0.016507,[0]
21,15587,0.015587,[1]
22,15231,0.015231,[0]
23,15328,0.015328,[1]
24,14721,0.014721,[0]
25,13885,0.013885,[1]
26,13250,0.01325,[0]
27,13041,0.013041,[1]
28,12922,0.012922,[0]
29,12433,0.012433,[1]
30,12789,0.012789,[0]
31,12959,0.012959,[1]
32,12689,0.012689,[0]
33,12382,0.012382,[1]
34,12829,0.012829,[0]
35,13292,0.013292,[1]
36,13177,0.013177,[0]
37,13726,0.013726,[1]
38,14550,0.01455,[0]
39,14747,0.014747,[1]
40,14538,0.014538,[0]
41,14779,0.014779,[1]
42,15451,0.015451,[0]
43,17007,0.017007,[1]
44,16935,0.016935,[0]
45,16800,0.0168,[1]
46,18268,0.018268,[0]
47,18928,0.018928,[1]
48,18471,0.018471,[0]
49,19716,0.019716,[1]
50,18092,0.018092,[0]
51,17602,0.017602,[1]
52,17166,0.017166,[0]
53,17452,0.017452,[1]
54,17295,0.017295,[0]
55,16717,0.016717,[1]
56,15955,0.015955,[0]
57,15768,0.015768,[1]
58,15111,0.015111,[0]
59,14491,0.014491,[1]
60,13331,0.013331,[0]
61,13009,0.013009,[1]
62,13653,0.013653,[0]
63,14206,0.014206,[1]
64,13449,0.013449,[0]
65,12672,0.012672,[1]
66,12419,0.012419,[0]
67,12522,0.012522,[1]
68,12539,0.012539,[0]
69,12340,0.01234,[1]
70,12173,0.012173,[0]
71,12008,0.012008,[1]
72,11745,0.011745,[0]
73,11496,0.011496,[1]
74,12066,0.012066,[0]
75,12340,0.01234,[1]
76,12002,0.012002,[0]
77,11738,0.011738,[1]
78,12152,0.012152,[0]
79,12336,0.012336,[1]
80,12073,0.012073,[0]
81,11952,0.011952,[1]
82,12122,0.012122,[0]
83,12647,0.012647,[1]
84,12750,0.01275,[0]
85,12938,0.012938,[1]
86,12889,0.012889,[0]
87,12913,0.012913,[1]
88,13629,0.013629,[0]
89,13475,0.013475,[1]
90,14285,0.014285,[0]
91,14101,0.014101,[1]
92,14111,0.014111,[0]
93,14146,0.014146,[1]
94,14713,0.014713,[0]
95,14829,0.014829,[1]
96,15359,0.015359,[0]
97,15432,0.015432,[1]
98,14717,0.014717,[0]
99,14853,0.014853,[1]
100,14927,0.014927,[0]
101,14211,0.014211,[1]
102,13357,0.013357,[0]
103,12961,0.012961,[1]
