[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090932_Curtin_Dom_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,960580,0.96058,[0]
1,586320,0.58632,[1]
2,1425549,1.425549,[0]
3,48748,0.048748,[1]
4,22661,0.022661,[0]
5,20597,0.020597,[1]
6,19873,0.019873,[0]
7,18989,0.018989,[1]
8,18267,0.018267,[0]
9,17001,0.017001,[1]
10,16297,0.016297,[0]
11,17018,0.017018,[1]
12,18292,0.018292,[0]
13,18512,0.018512,[1]
14,18615,0.018615,[0]
15,21633,0.021633,[1]
16,25907,0.025907,[0]
17,29046,0.029046,[1]
18,32931,0.032931,[0]
19,38936,0.038936,[1]
20,46932,0.046932,[0]
21,38581,0.038581,[1]
22,33025,0.033025,[0]
23,26589,0.026589,[1]
24,25473,0.025473,[0]
25,22716,0.022716,[1]
26,22482,0.022482,[0]
27,21017,0.021017,[1]
28,18438,0.018438,[0]
29,17216,0.017216,[1]
30,19383,0.019383,[0]
31,19121,0.019121,[1]
32,17229,0.017229,[0]
33,16801,0.016801,[1]
34,17126,0.017126,[0]
35,16671,0.016671,[1]
36,15735,0.015735,[0]
37,16006,0.016006,[1]
38,15618,0.015618,[0]
39,15170,0.01517,[1]
40,14616,0.014616,[0]
41,14926,0.014926,[1]
42,15238,0.015238,[0]
43,14823,0.014823,[1]
44,14858,0.014858,[0]
45,15281,0.015281,[1]
46,15356,0.015356,[0]
47,15011,0.015011,[1]
48,15572,0.015572,[0]
49,15628,0.015628,[1]
50,16081,0.016081,[0]
51,15887,0.015887,[1]
52,16640,0.01664,[0]
53,17279,0.017279,[1]
54,17354,0.017354,[0]
55,17225,0.017225,[1]
56,17861,0.017861,[0]
57,19362,0.019362,[1]
58,18857,0.018857,[0]
59,18224,0.018224,[1]
60,18018,0.018018,[0]
61,18358,0.018358,[1]
62,16842,0.016842,[0]
63,15739,0.015739,[1]
64,14818,0.014818,[0]
65,14425,0.014425,[1]
66,13907,0.013907,[0]
67,13829,0.013829,[1]
68,13065,0.013065,[0]
69,12383,0.012383,[1]
70,11904,0.011904,[0]
71,11906,0.011906,[1]
72,11459,0.011459,[0]
73,11454,0.011454,[1]
74,11018,0.011018,[0]
75,10828,0.010828,[1]
76,11066,0.011066,[0]
77,10856,0.010856,[1]
78,10441,0.010441,[0]
79,10296,0.010296,[1]
80,10162,0.010162,[0]
81,9981,0.009981,[1]
82,9877,0.009877,[0]
83,10150,0.01015,[1]
84,10726,0.010726,[0]
85,10661,0.010661,[1]
86,10730,0.01073,[0]
87,10362,0.010362,[1]
88,10246,0.010246,[0]
89,10240,0.01024,[1]
90,10910,0.01091,[0]
91,11497,0.011497,[1]
92,11638,0.011638,[0]
93,12259,0.012259,[1]
94,12166,0.012166,[0]
95,12342,0.012342,[1]
96,12346,0.012346,[0]
97,12382,0.012382,[1]
98,12399,0.012399,[0]
99,12530,0.01253,[1]
100,13301,0.013301,[0]
101,13808,0.013808,[1]
102,13787,0.013787,[0]
103,13504,0.013504,[1]
