[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_082553_O'Callaghan_Georgie_90SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,12007,0.012007,[0]
1,19175,0.019175,[1]
2,19529,0.019529,[0]
3,18606,0.018606,[1]
4,17509,0.017509,[0]
5,17156,0.017156,[1]
6,17108,0.017108,[0]
7,16988,0.016988,[1]
8,17489,0.017489,[0]
9,17253,0.017253,[1]
10,17099,0.017099,[0]
11,16857,0.016857,[1]
12,17312,0.017312,[0]
13,16945,0.016945,[1]
14,17153,0.017153,[0]
15,18398,0.018398,[1]
16,19620,0.01962,[0]
17,19698,0.019698,[1]
18,20175,0.020175,[0]
19,20698,0.020698,[1]
20,20822,0.020822,[0]
21,21037,0.021037,[1]
22,20538,0.020538,[0]
23,19690,0.01969,[1]
24,18004,0.018004,[0]
25,17270,0.01727,[1]
26,17479,0.017479,[0]
27,17454,0.017454,[1]
28,17130,0.01713,[0]
29,16946,0.016946,[1]
30,16597,0.016597,[0]
31,16249,0.016249,[1]
32,15513,0.015513,[0]
33,14458,0.014458,[1]
34,13279,0.013279,[0]
35,14458,0.014458,[1]
36,14742,0.014742,[0]
37,13999,0.013999,[1]
38,14014,0.014014,[0]
39,14326,0.014326,[1]
40,13907,0.013907,[0]
41,13562,0.013562,[1]
42,13286,0.013286,[0]
43,12807,0.012807,[1]
44,12803,0.012803,[0]
45,12825,0.012825,[1]
46,12416,0.012416,[0]
47,12322,0.012322,[1]
48,12753,0.012753,[0]
49,12766,0.012766,[1]
50,12778,0.012778,[0]
51,12913,0.012913,[1]
52,12988,0.012988,[0]
53,12684,0.012684,[1]
54,12715,0.012715,[0]
55,13471,0.013471,[1]
56,13521,0.013521,[0]
57,13408,0.013408,[1]
58,13681,0.013681,[0]
59,13709,0.013709,[1]
60,13784,0.013784,[0]
61,13857,0.013857,[1]
62,14177,0.014177,[0]
63,13994,0.013994,[1]
64,14380,0.01438,[0]
65,14576,0.014576,[1]
66,14595,0.014595,[0]
67,14317,0.014317,[1]
68,14151,0.014151,[0]
69,13523,0.013523,[1]
70,13117,0.013117,[0]
71,12652,0.012652,[1]
72,12772,0.012772,[0]
73,12256,0.012256,[1]
74,12026,0.012026,[0]
75,11706,0.011706,[1]
76,12113,0.012113,[0]
77,12130,0.01213,[1]
78,12348,0.012348,[0]
79,12131,0.012131,[1]
80,12114,0.012114,[0]
81,11741,0.011741,[1]
82,11299,0.011299,[0]
83,11218,0.011218,[1]
84,11199,0.011199,[0]
85,11029,0.011029,[1]
86,11007,0.011007,[0]
87,10975,0.010975,[1]
88,10768,0.010768,[0]
89,10802,0.010802,[1]
90,11407,0.011407,[0]
91,11760,0.01176,[1]
92,11433,0.011433,[0]
93,11250,0.01125,[1]
94,11210,0.01121,[0]
95,11510,0.01151,[1]
96,11433,0.011433,[0]
97,11483,0.011483,[1]
98,11604,0.011604,[0]
99,11459,0.011459,[1]
100,11469,0.011469,[0]
101,11453,0.011453,[1]
102,11263,0.011263,[0]
103,11278,0.011278,[1]
