[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_085933_O'Callaghan_Georgie_70SR-PL196
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,157268,0.157268,[0]
1,167987,0.167987,[1]
2,3281588,3.281588,[0]
3,72932,0.072932,[1]
4,37423,0.037423,[0]
5,29262,0.029262,[1]
6,26353,0.026353,[0]
7,24660,0.02466,[1]
8,22879,0.022879,[0]
9,22309,0.022309,[1]
10,22286,0.022286,[0]
11,22027,0.022027,[1]
12,20766,0.020766,[0]
13,20075,0.020075,[1]
14,20353,0.020353,[0]
15,19574,0.019574,[1]
16,20031,0.020031,[0]
17,21012,0.021012,[1]
18,21131,0.021131,[0]
19,20002,0.020002,[1]
20,20418,0.020418,[0]
21,20586,0.020586,[1]
22,20088,0.020088,[0]
23,22553,0.022553,[1]
24,23238,0.023238,[0]
25,20905,0.020905,[1]
26,20714,0.020714,[0]
27,23094,0.023094,[1]
28,24037,0.024037,[0]
29,23142,0.023142,[1]
30,22433,0.022433,[0]
31,20828,0.020828,[1]
32,17850,0.01785,[0]
33,18319,0.018319,[1]
34,18080,0.01808,[0]
35,18016,0.018016,[1]
36,18106,0.018106,[0]
37,18562,0.018562,[1]
38,18790,0.01879,[0]
39,17859,0.017859,[1]
40,18187,0.018187,[0]
41,18236,0.018236,[1]
42,16346,0.016346,[0]
43,15219,0.015219,[1]
44,15423,0.015423,[0]
45,15606,0.015606,[1]
46,15551,0.015551,[0]
47,15695,0.015695,[1]
48,15876,0.015876,[0]
49,14783,0.014783,[1]
50,14927,0.014927,[0]
51,15042,0.015042,[1]
52,15339,0.015339,[0]
53,15429,0.015429,[1]
54,15137,0.015137,[0]
55,14511,0.014511,[1]
56,14194,0.014194,[0]
57,14341,0.014341,[1]
58,14538,0.014538,[0]
59,14496,0.014496,[1]
60,14987,0.014987,[0]
61,15092,0.015092,[1]
62,15352,0.015352,[0]
63,14996,0.014996,[1]
64,15080,0.01508,[0]
65,15351,0.015351,[1]
66,15289,0.015289,[0]
67,15750,0.01575,[1]
68,16598,0.016598,[0]
69,16751,0.016751,[1]
70,16660,0.01666,[0]
71,16832,0.016832,[1]
72,16420,0.01642,[0]
73,16166,0.016166,[1]
74,16330,0.01633,[0]
75,16267,0.016267,[1]
76,15698,0.015698,[0]
77,16127,0.016127,[1]
78,15278,0.015278,[0]
79,15218,0.015218,[1]
80,15245,0.015245,[0]
81,14657,0.014657,[1]
82,14105,0.014105,[0]
83,13804,0.013804,[1]
84,13816,0.013816,[0]
85,13459,0.013459,[1]
86,13181,0.013181,[0]
87,13070,0.01307,[1]
88,12240,0.01224,[0]
89,12557,0.012557,[1]
90,12706,0.012706,[0]
91,12436,0.012436,[1]
92,12437,0.012437,[0]
93,12126,0.012126,[1]
94,12251,0.012251,[0]
95,12114,0.012114,[1]
96,12434,0.012434,[0]
97,12175,0.012175,[1]
98,11648,0.011648,[0]
99,11446,0.011446,[1]
100,11569,0.011569,[0]
101,11371,0.011371,[1]
102,11361,0.011361,[0]
