[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080849_Crosbee_Mark_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,4179958,4.179958,[0]
1,395934,0.395934,[1]
2,259356,0.259356,[0]
3,88591,0.088591,[1]
4,59825,0.059825,[0]
5,54819,0.054819,[1]
6,43732,0.043732,[0]
7,31105,0.031105,[1]
8,26138,0.026138,[0]
9,22684,0.022684,[1]
10,19440,0.01944,[0]
11,17192,0.017192,[1]
12,16099,0.016099,[0]
13,15030,0.01503,[1]
14,14393,0.014393,[0]
15,13378,0.013378,[1]
16,13253,0.013253,[0]
17,13313,0.013313,[1]
18,13264,0.013264,[0]
19,13659,0.013659,[1]
20,14971,0.014971,[0]
21,14752,0.014752,[1]
22,15295,0.015295,[0]
23,15775,0.015775,[1]
24,16270,0.01627,[0]
25,17809,0.017809,[1]
26,17271,0.017271,[0]
27,17187,0.017187,[1]
28,18369,0.018369,[0]
29,18914,0.018914,[1]
30,18705,0.018705,[0]
31,19362,0.019362,[1]
32,20578,0.020578,[0]
33,20645,0.020645,[1]
34,21584,0.021584,[0]
35,22959,0.022959,[1]
36,23135,0.023135,[0]
37,23109,0.023109,[1]
38,23654,0.023654,[0]
39,26049,0.026049,[1]
40,25869,0.025869,[0]
41,27472,0.027472,[1]
42,30288,0.030288,[0]
43,32967,0.032967,[1]
44,35863,0.035863,[0]
45,32132,0.032132,[1]
46,34986,0.034986,[0]
47,32428,0.032428,[1]
48,31026,0.031026,[0]
49,25440,0.02544,[1]
50,22881,0.022881,[0]
51,20441,0.020441,[1]
52,18923,0.018923,[0]
53,17789,0.017789,[1]
54,16891,0.016891,[0]
55,16426,0.016426,[1]
56,15452,0.015452,[0]
57,15678,0.015678,[1]
58,15297,0.015297,[0]
59,15736,0.015736,[1]
60,15430,0.01543,[0]
61,15963,0.015963,[1]
62,15534,0.015534,[0]
63,15053,0.015053,[1]
64,15315,0.015315,[0]
65,16103,0.016103,[1]
66,16465,0.016465,[0]
67,16144,0.016144,[1]
68,16791,0.016791,[0]
69,17010,0.01701,[1]
70,17307,0.017307,[0]
71,16263,0.016263,[1]
72,15622,0.015622,[0]
73,14746,0.014746,[1]
74,14772,0.014772,[0]
75,14171,0.014171,[1]
76,14071,0.014071,[0]
77,13833,0.013833,[1]
78,13179,0.013179,[0]
79,12484,0.012484,[1]
80,12289,0.012289,[0]
81,11904,0.011904,[1]
82,12702,0.012702,[0]
83,13317,0.013317,[1]
84,12800,0.0128,[0]
85,12210,0.01221,[1]
86,12231,0.012231,[0]
87,12075,0.012075,[1]
88,12287,0.012287,[0]
89,11977,0.011977,[1]
90,12015,0.012015,[0]
91,12060,0.01206,[1]
92,11962,0.011962,[0]
93,11659,0.011659,[1]
94,11998,0.011998,[0]
95,11697,0.011697,[1]
96,11138,0.011138,[0]
97,10685,0.010685,[1]
98,10681,0.010681,[0]
99,11080,0.01108,[1]
100,10917,0.010917,[0]
101,10918,0.010918,[1]
102,10437,0.010437,[0]
103,10244,0.010244,[1]
