[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083124_Long_Merle_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,422469,0.422469,[0]
1,285557,0.285557,[1]
2,550602,0.550602,[0]
3,606882,0.606882,[1]
4,1180746,1.180746,[0]
5,368933,0.368933,[1]
6,387353,0.387353,[0]
7,651866,0.651866,[1]
8,1084152,1.084152,[0]
9,134225,0.134225,[1]
10,73013,0.073013,[0]
11,44673,0.044673,[1]
12,36422,0.036422,[0]
13,32239,0.032239,[1]
14,27350,0.02735,[0]
15,24576,0.024576,[1]
16,22989,0.022989,[0]
17,21906,0.021906,[1]
18,21453,0.021453,[0]
19,19766,0.019766,[1]
20,18730,0.01873,[0]
21,19504,0.019504,[1]
22,19201,0.019201,[0]
23,18402,0.018402,[1]
24,19465,0.019465,[0]
25,20288,0.020288,[1]
26,20219,0.020219,[0]
27,21858,0.021858,[1]
28,25574,0.025574,[0]
29,27875,0.027875,[1]
30,30948,0.030948,[0]
31,33854,0.033854,[1]
32,39728,0.039728,[0]
33,37276,0.037276,[1]
34,38401,0.038401,[0]
35,36649,0.036649,[1]
36,33192,0.033192,[0]
37,29677,0.029677,[1]
38,27752,0.027752,[0]
39,25071,0.025071,[1]
40,24841,0.024841,[0]
41,23834,0.023834,[1]
42,21958,0.021958,[0]
43,22711,0.022711,[1]
44,23051,0.023051,[0]
45,21973,0.021973,[1]
46,21733,0.021733,[0]
47,22745,0.022745,[1]
48,23438,0.023438,[0]
49,22629,0.022629,[1]
50,23180,0.02318,[0]
51,23273,0.023273,[1]
52,23809,0.023809,[0]
53,22126,0.022126,[1]
54,22792,0.022792,[0]
55,22420,0.02242,[1]
56,22169,0.022169,[0]
57,20267,0.020267,[1]
58,20006,0.020006,[0]
59,19085,0.019085,[1]
60,18643,0.018643,[0]
61,17805,0.017805,[1]
62,17241,0.017241,[0]
63,16569,0.016569,[1]
64,16753,0.016753,[0]
65,16614,0.016614,[1]
66,16117,0.016117,[0]
67,16056,0.016056,[1]
68,16759,0.016759,[0]
69,17606,0.017606,[1]
70,15867,0.015867,[0]
71,15985,0.015985,[1]
72,18733,0.018733,[0]
73,19289,0.019289,[1]
74,16241,0.016241,[0]
75,16207,0.016207,[1]
76,17620,0.01762,[0]
77,17979,0.017979,[1]
78,16262,0.016262,[0]
79,17828,0.017828,[1]
80,18594,0.018594,[0]
81,18230,0.01823,[1]
82,17697,0.017697,[0]
83,18735,0.018735,[1]
84,19245,0.019245,[0]
85,17936,0.017936,[1]
86,17500,0.0175,[0]
87,19100,0.0191,[1]
88,18990,0.01899,[0]
89,17767,0.017767,[1]
90,17717,0.017717,[0]
91,18267,0.018267,[1]
92,18116,0.018116,[0]
93,17154,0.017154,[1]
94,16714,0.016714,[0]
95,16686,0.016686,[1]
96,17229,0.017229,[0]
97,17023,0.017023,[1]
98,16982,0.016982,[0]
99,16580,0.01658,[1]
100,16443,0.016443,[0]
101,16708,0.016708,[1]
102,17629,0.017629,[0]
103,17141,0.017141,[1]
104,16937,0.016937,[0]
