[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083931_Long_Merle_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1058580,1.05858,[0]
1,3446676,3.446676,[1]
2,481677,0.481677,[0]
3,581303,0.581303,[1]
4,1011701,1.011701,[0]
5,95375,0.095375,[1]
6,56341,0.056341,[0]
7,42380,0.04238,[1]
8,37332,0.037332,[0]
9,30232,0.030232,[1]
10,28054,0.028054,[0]
11,23121,0.023121,[1]
12,22090,0.02209,[0]
13,21361,0.021361,[1]
14,21949,0.021949,[0]
15,21384,0.021384,[1]
16,24068,0.024068,[0]
17,27803,0.027803,[1]
18,29609,0.029609,[0]
19,35367,0.035367,[1]
20,42693,0.042693,[0]
21,44031,0.044031,[1]
22,33101,0.033101,[0]
23,27682,0.027682,[1]
24,24087,0.024087,[0]
25,22931,0.022931,[1]
26,20337,0.020337,[0]
27,19094,0.019094,[1]
28,18904,0.018904,[0]
29,19130,0.01913,[1]
30,17531,0.017531,[0]
31,17531,0.017531,[1]
32,18288,0.018288,[0]
33,18104,0.018104,[1]
34,17340,0.01734,[0]
35,16923,0.016923,[1]
36,17162,0.017162,[0]
37,17001,0.017001,[1]
38,16018,0.016018,[0]
39,15611,0.015611,[1]
40,14960,0.01496,[0]
41,13907,0.013907,[1]
42,13838,0.013838,[0]
43,13595,0.013595,[1]
44,13617,0.013617,[0]
45,13523,0.013523,[1]
46,13637,0.013637,[0]
47,13785,0.013785,[1]
48,14971,0.014971,[0]
49,14676,0.014676,[1]
50,14607,0.014607,[0]
51,15407,0.015407,[1]
52,16356,0.016356,[0]
53,16791,0.016791,[1]
54,18492,0.018492,[0]
55,18160,0.01816,[1]
56,18097,0.018097,[0]
57,18807,0.018807,[1]
58,18198,0.018198,[0]
59,18174,0.018174,[1]
60,16474,0.016474,[0]
61,15204,0.015204,[1]
62,14544,0.014544,[0]
63,14084,0.014084,[1]
64,13962,0.013962,[0]
65,13157,0.013157,[1]
66,12232,0.012232,[0]
67,11662,0.011662,[1]
68,11583,0.011583,[0]
69,11778,0.011778,[1]
70,11984,0.011984,[0]
71,11333,0.011333,[1]
72,11325,0.011325,[0]
73,11636,0.011636,[1]
74,11716,0.011716,[0]
75,11052,0.011052,[1]
76,10864,0.010864,[0]
77,11183,0.011183,[1]
78,11092,0.011092,[0]
79,11411,0.011411,[1]
80,11970,0.01197,[0]
81,11623,0.011623,[1]
82,11236,0.011236,[0]
83,10844,0.010844,[1]
84,11538,0.011538,[0]
85,11769,0.011769,[1]
86,11073,0.011073,[0]
87,10575,0.010575,[1]
88,10960,0.01096,[0]
89,11832,0.011832,[1]
90,11793,0.011793,[0]
91,11717,0.011717,[1]
92,12177,0.012177,[0]
93,12341,0.012341,[1]
94,12420,0.01242,[0]
95,12673,0.012673,[1]
96,12866,0.012866,[0]
97,13066,0.013066,[1]
98,13950,0.01395,[0]
99,14031,0.014031,[1]
100,13692,0.013692,[0]
101,13267,0.013267,[1]
102,12829,0.012829,[0]
103,12385,0.012385,[1]
