[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084419_Long_Merle_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,1110256,1.110256,[0]
1,654157,0.654157,[1]
2,304004,0.304004,[0]
3,250377,0.250377,[1]
4,252493,0.252493,[0]
5,273030,0.27303,[1]
6,237475,0.237475,[0]
7,419159,0.419159,[1]
8,1308213,1.308213,[0]
9,434991,0.434991,[1]
10,140278,0.140278,[0]
11,64381,0.064381,[1]
12,43042,0.043042,[0]
13,38323,0.038323,[1]
14,31190,0.03119,[0]
15,29869,0.029869,[1]
16,25033,0.025033,[0]
17,25217,0.025217,[1]
18,22928,0.022928,[0]
19,24652,0.024652,[1]
20,20959,0.020959,[0]
21,24525,0.024525,[1]
22,23943,0.023943,[0]
23,28507,0.028507,[1]
24,32223,0.032223,[0]
25,38874,0.038874,[1]
26,44667,0.044667,[0]
27,39282,0.039282,[1]
28,28543,0.028543,[0]
29,23355,0.023355,[1]
30,21118,0.021118,[0]
31,19022,0.019022,[1]
32,17204,0.017204,[0]
33,16804,0.016804,[1]
34,16177,0.016177,[0]
35,15478,0.015478,[1]
36,16054,0.016054,[0]
37,15876,0.015876,[1]
38,14780,0.01478,[0]
39,14284,0.014284,[1]
40,14523,0.014523,[0]
41,14604,0.014604,[1]
42,13906,0.013906,[0]
43,13793,0.013793,[1]
44,13225,0.013225,[0]
45,13833,0.013833,[1]
46,13261,0.013261,[0]
47,12763,0.012763,[1]
48,12712,0.012712,[0]
49,13535,0.013535,[1]
50,13575,0.013575,[0]
51,14287,0.014287,[1]
52,15271,0.015271,[0]
53,15669,0.015669,[1]
54,15263,0.015263,[0]
55,15727,0.015727,[1]
56,18211,0.018211,[0]
57,18800,0.0188,[1]
58,19104,0.019104,[0]
59,19174,0.019174,[1]
60,19733,0.019733,[0]
61,19015,0.019015,[1]
62,16818,0.016818,[0]
63,15591,0.015591,[1]
64,15217,0.015217,[0]
65,14283,0.014283,[1]
66,13509,0.013509,[0]
67,12660,0.01266,[1]
68,12777,0.012777,[0]
69,12581,0.012581,[1]
70,11933,0.011933,[0]
71,11720,0.01172,[1]
72,12148,0.012148,[0]
73,11770,0.01177,[1]
74,11330,0.01133,[0]
75,11709,0.011709,[1]
76,11456,0.011456,[0]
77,10790,0.01079,[1]
78,10958,0.010958,[0]
79,11918,0.011918,[1]
80,11854,0.011854,[0]
81,11400,0.0114,[1]
82,11382,0.011382,[0]
83,11398,0.011398,[1]
84,11414,0.011414,[0]
85,11574,0.011574,[1]
86,11511,0.011511,[0]
87,12223,0.012223,[1]
88,12707,0.012707,[0]
89,12371,0.012371,[1]
90,12916,0.012916,[0]
91,14216,0.014216,[1]
92,14053,0.014053,[0]
93,14023,0.014023,[1]
94,14217,0.014217,[0]
95,14661,0.014661,[1]
96,14364,0.014364,[0]
97,13487,0.013487,[1]
98,12661,0.012661,[0]
99,11752,0.011752,[1]
100,10897,0.010897,[0]
101,10373,0.010373,[1]
102,9958,0.009958,[0]
103,9563,0.009563,[1]
