[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092024_Long_Merle_205Paddle80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,2009962,2.009962,[0]
1,932783,0.932783,[1]
2,1108349,1.108349,[0]
3,105188,0.105188,[1]
4,48304,0.048304,[0]
5,36983,0.036983,[1]
6,31602,0.031602,[0]
7,29244,0.029244,[1]
8,27809,0.027809,[0]
9,25532,0.025532,[1]
10,25107,0.025107,[0]
11,24272,0.024272,[1]
12,24988,0.024988,[0]
13,25328,0.025328,[1]
14,24671,0.024671,[0]
15,25616,0.025616,[1]
16,29477,0.029477,[0]
17,31237,0.031237,[1]
18,33616,0.033616,[0]
19,40736,0.040736,[1]
20,50914,0.050914,[0]
21,55572,0.055572,[1]
22,47804,0.047804,[0]
23,37158,0.037158,[1]
24,33028,0.033028,[0]
25,27757,0.027757,[1]
26,25016,0.025016,[0]
27,23670,0.02367,[1]
28,23019,0.023019,[0]
29,22124,0.022124,[1]
30,21958,0.021958,[0]
31,21396,0.021396,[1]
32,21601,0.021601,[0]
33,20168,0.020168,[1]
34,19645,0.019645,[0]
35,19641,0.019641,[1]
36,18350,0.01835,[0]
37,18361,0.018361,[1]
38,18102,0.018102,[0]
39,16797,0.016797,[1]
40,16528,0.016528,[0]
41,17128,0.017128,[1]
42,16764,0.016764,[0]
43,16486,0.016486,[1]
44,15872,0.015872,[0]
45,16238,0.016238,[1]
46,17053,0.017053,[0]
47,17821,0.017821,[1]
48,18316,0.018316,[0]
49,18200,0.0182,[1]
50,18168,0.018168,[0]
51,19234,0.019234,[1]
52,19658,0.019658,[0]
53,20034,0.020034,[1]
54,20719,0.020719,[0]
55,20973,0.020973,[1]
56,21172,0.021172,[0]
57,21347,0.021347,[1]
58,20700,0.0207,[0]
59,18900,0.0189,[1]
60,17840,0.01784,[0]
61,17480,0.01748,[1]
62,16501,0.016501,[0]
63,15653,0.015653,[1]
64,15000,0.015,[0]
65,14278,0.014278,[1]
66,13845,0.013845,[0]
67,13081,0.013081,[1]
68,12796,0.012796,[0]
69,13502,0.013502,[1]
70,13678,0.013678,[0]
71,12840,0.01284,[1]
72,12121,0.012121,[0]
73,11875,0.011875,[1]
74,11824,0.011824,[0]
75,12391,0.012391,[1]
76,11924,0.011924,[0]
77,12209,0.012209,[1]
78,11764,0.011764,[0]
79,11890,0.01189,[1]
80,11696,0.011696,[0]
81,11508,0.011508,[1]
82,11024,0.011024,[0]
83,11149,0.011149,[1]
84,11052,0.011052,[0]
85,10986,0.010986,[1]
86,11494,0.011494,[0]
87,11834,0.011834,[1]
88,14388,0.014388,[0]
89,12748,0.012748,[1]
90,11250,0.01125,[0]
91,10320,0.01032,[1]
92,9975,0.009975,[0]
93,10045,0.010045,[1]
94,11183,0.011183,[0]
95,11896,0.011896,[1]
96,12338,0.012338,[0]
97,12003,0.012003,[1]
98,12192,0.012192,[0]
99,12087,0.012087,[1]
100,12342,0.012342,[0]
101,12425,0.012425,[1]
102,13241,0.013241,[0]
103,13194,0.013194,[1]
