[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092406_Long_Merle_205PaddleSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,2859155,2.859155,[0]
1,2020229,2.020229,[1]
2,2300355,2.300355,[0]
3,1520246,1.520246,[1]
4,217674,0.217674,[0]
5,206356,0.206356,[1]
6,79480,0.07948,[0]
7,50338,0.050338,[1]
8,42239,0.042239,[0]
9,38499,0.038499,[1]
10,33745,0.033745,[0]
11,32119,0.032119,[1]
12,29010,0.02901,[0]
13,29228,0.029228,[1]
14,28146,0.028146,[0]
15,31027,0.031027,[1]
16,35949,0.035949,[0]
17,47654,0.047654,[1]
18,64414,0.064414,[0]
19,61525,0.061525,[1]
20,41049,0.041049,[0]
21,32292,0.032292,[1]
22,26376,0.026376,[0]
23,23419,0.023419,[1]
24,23035,0.023035,[0]
25,22004,0.022004,[1]
26,21451,0.021451,[0]
27,20003,0.020003,[1]
28,19528,0.019528,[0]
29,19275,0.019275,[1]
30,18511,0.018511,[0]
31,18056,0.018056,[1]
32,18363,0.018363,[0]
33,17884,0.017884,[1]
34,17446,0.017446,[0]
35,17252,0.017252,[1]
36,17211,0.017211,[0]
37,16831,0.016831,[1]
38,16444,0.016444,[0]
39,16352,0.016352,[1]
40,17006,0.017006,[0]
41,16291,0.016291,[1]
42,15709,0.015709,[0]
43,15724,0.015724,[1]
44,16352,0.016352,[0]
45,16648,0.016648,[1]
46,16960,0.01696,[0]
47,17658,0.017658,[1]
48,18712,0.018712,[0]
49,18481,0.018481,[1]
50,19590,0.01959,[0]
51,20429,0.020429,[1]
52,20261,0.020261,[0]
53,20868,0.020868,[1]
54,21329,0.021329,[0]
55,22005,0.022005,[1]
56,21337,0.021337,[0]
57,19182,0.019182,[1]
58,17804,0.017804,[0]
59,16725,0.016725,[1]
60,15745,0.015745,[0]
61,15167,0.015167,[1]
62,14376,0.014376,[0]
63,13819,0.013819,[1]
64,13560,0.01356,[0]
65,13108,0.013108,[1]
66,12500,0.0125,[0]
67,12195,0.012195,[1]
68,12353,0.012353,[0]
69,12123,0.012123,[1]
70,12100,0.0121,[0]
71,11891,0.011891,[1]
72,11590,0.01159,[0]
73,11859,0.011859,[1]
74,11591,0.011591,[0]
75,11339,0.011339,[1]
76,11197,0.011197,[0]
77,11483,0.011483,[1]
78,11093,0.011093,[0]
79,11595,0.011595,[1]
80,12867,0.012867,[0]
81,12366,0.012366,[1]
82,11513,0.011513,[0]
83,10726,0.010726,[1]
84,10352,0.010352,[0]
85,10368,0.010368,[1]
86,10679,0.010679,[0]
87,11128,0.011128,[1]
88,11082,0.011082,[0]
89,11007,0.011007,[1]
90,10774,0.010774,[0]
91,11297,0.011297,[1]
92,11842,0.011842,[0]
93,11800,0.0118,[1]
94,11894,0.011894,[0]
95,12199,0.012199,[1]
96,12221,0.012221,[0]
97,12583,0.012583,[1]
98,12724,0.012724,[0]
99,13000,0.013,[1]
100,13583,0.013583,[0]
101,13528,0.013528,[1]
102,14189,0.014189,[0]
103,14258,0.014258,[1]
