[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092751_Long_Merle_205PaddleMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,3201312,3.201312,[0]
1,173011,0.173011,[1]
2,96653,0.096653,[0]
3,70488,0.070488,[1]
4,57074,0.057074,[0]
5,50011,0.050011,[1]
6,43029,0.043029,[0]
7,41303,0.041303,[1]
8,34199,0.034199,[0]
9,31150,0.03115,[1]
10,28712,0.028712,[0]
11,25619,0.025619,[1]
12,25681,0.025681,[0]
13,25639,0.025639,[1]
14,24798,0.024798,[0]
15,26650,0.02665,[1]
16,29673,0.029673,[0]
17,36660,0.03666,[1]
18,45311,0.045311,[0]
19,61953,0.061953,[1]
20,49807,0.049807,[0]
21,35090,0.03509,[1]
22,26148,0.026148,[0]
23,22449,0.022449,[1]
24,20425,0.020425,[0]
25,19650,0.01965,[1]
26,18931,0.018931,[0]
27,19861,0.019861,[1]
28,19069,0.019069,[0]
29,18235,0.018235,[1]
30,18262,0.018262,[0]
31,18738,0.018738,[1]
32,18486,0.018486,[0]
33,18029,0.018029,[1]
34,18196,0.018196,[0]
35,18019,0.018019,[1]
36,17209,0.017209,[0]
37,16808,0.016808,[1]
38,16365,0.016365,[0]
39,15879,0.015879,[1]
40,16222,0.016222,[0]
41,16113,0.016113,[1]
42,16445,0.016445,[0]
43,16883,0.016883,[1]
44,17555,0.017555,[0]
45,18438,0.018438,[1]
46,18884,0.018884,[0]
47,20203,0.020203,[1]
48,21228,0.021228,[0]
49,22346,0.022346,[1]
50,21366,0.021366,[0]
51,19398,0.019398,[1]
52,17943,0.017943,[0]
53,16658,0.016658,[1]
54,15407,0.015407,[0]
55,14219,0.014219,[1]
56,13218,0.013218,[0]
57,12711,0.012711,[1]
58,12250,0.01225,[0]
59,11576,0.011576,[1]
60,11508,0.011508,[0]
61,11213,0.011213,[1]
62,11145,0.011145,[0]
63,11032,0.011032,[1]
64,10935,0.010935,[0]
65,10347,0.010347,[1]
66,10305,0.010305,[0]
67,10562,0.010562,[1]
68,10973,0.010973,[0]
69,10845,0.010845,[1]
70,10477,0.010477,[0]
71,10614,0.010614,[1]
72,11239,0.011239,[0]
73,11333,0.011333,[1]
74,11222,0.011222,[0]
75,11130,0.01113,[1]
76,10539,0.010539,[0]
77,11267,0.011267,[1]
78,12286,0.012286,[0]
79,12197,0.012197,[1]
80,11810,0.01181,[0]
81,11761,0.011761,[1]
82,12404,0.012404,[0]
83,12998,0.012998,[1]
84,13215,0.013215,[0]
85,13770,0.01377,[1]
86,13926,0.013926,[0]
87,14009,0.014009,[1]
88,13875,0.013875,[0]
89,13452,0.013452,[1]
90,12760,0.01276,[0]
91,12140,0.01214,[1]
92,11729,0.011729,[0]
93,11206,0.011206,[1]
94,11181,0.011181,[0]
95,10808,0.010808,[1]
96,10337,0.010337,[0]
97,10112,0.010112,[1]
98,9849,0.009849,[0]
99,9475,0.009475,[1]
100,9437,0.009437,[0]
101,9422,0.009422,[1]
102,9579,0.009579,[0]
103,9424,0.009424,[1]
